name;address;cp;ville;country;phone;description
PHARMACIE DU CHAMP DE MARS;9 R ALEXANDRE BERARD;01500;AMBERIEU EN BUGEY;FRANCE;04 74 38 02 26;Pharmacie d'Officine
PHARMACIE VOLLENWEIDER;41 R ALEXANDRE BERARD;01500;AMBERIEU EN BUGEY;FRANCE;04 74 35 04 15;Pharmacie d'Officine
PHARMACIE ORSET;625 AV LEON BLUM;01500;AMBERIEU EN BUGEY;FRANCE;;Pharmacie d'Officine
PHARMACIE GUSTIN;68 AV ROGER SALENGRO;01500;AMBERIEU EN BUGEY;FRANCE;04 74 46 81 46;Pharmacie d'Officine
SELARL PHARMACIE VINOIS;RTE DE LA MAIRIE;01330;AMBERIEUX EN DOMBES;FRANCE;04 74 00 83 11;Pharmacie d'Officine
PHARMACIE BEDOY;112 Grand Rue;01500;AMBRONAY;FRANCE;;Pharmacie d'Officine
SARL GABRIELLE GROSS;RTE DE DORTAN;01100;ARBENT;FRANCE;04 74 77 38 19;Pharmacie d'Officine
PHARMACIE D'ARS ET DOMBES;310 R Jean Marie Vianney;01480;ARS SUR FORMANS;FRANCE;04 74 00 77 32;Pharmacie d'Officine
PHARMACIE SERPINET;24 R DE SAVOIE;01510;ARTEMARE;FRANCE;04 79 87 30 05;Pharmacie d'Officine
PHARMACIE D'ATTIGNAT;568 GRANDE RUE;01340;ATTIGNAT;FRANCE;04 74 30 90 60;Pharmacie d'Officine
PHARMACIE DES BAGE;300 RTE de Montrevel;01380;BAGE DOMMARTIN;FRANCE;03 85 30 41 67;Pharmacie d'Officine
PHARMACIE DE BELLIGNAT;3 PL DES ARCADES;01100;BELLIGNAT;FRANCE;04 74 73 79 16;Pharmacie d'Officine
PHARMACIE DE BELIGNEUX;87 RTE DE GENEVE;01360;BELIGNEUX;FRANCE;04 78 06 33 12;Pharmacie d'Officine
PHARMACIE DU CREDO;AV de Lattre de Tassigny;01200;VALSERHONE;FRANCE;04 50 48 27 26;Pharmacie d'Officine
PHARMACIE DEBOVE;3 R JOSEPH BERTOLA;01200;VALSERHONE;FRANCE;04 50 48 28 06;Pharmacie d'Officine
PHARMACIE MANNIER;20 R PARMENTIER;01200;VALSERHONE;FRANCE;04 50 48 23 38;Pharmacie d'Officine
GRANDE PHARMACIE DE BELLEGARDE;69 R DE LA REPUBLIQUE;01200;VALSERHONE;FRANCE;;Pharmacie d'Officine
PHARMACIE DE LA VALSERINE;25 R DE LA REPUBLIQUE;01200;VALSERHONE;FRANCE;04 50 56 04 52;Pharmacie d'Officine
PHARMACIE  CAVAGNA;61 GRANDE RUE;01300;BELLEY;FRANCE;04 79 81 00 35;Pharmacie d'Officine
PHARMACIE RICHOUX;1 R DE LA REPUBLIQUE;01300;BELLEY;FRANCE;04 79 81 00 19;Pharmacie d'Officine
GRANDE PHARMACIE DES TERREAUX;7 PL DES TERREAUX;01300;BELLEY;FRANCE;04 79 81 02 44;Pharmacie d'Officine
D2L - PHARMACIE BELLEYSANNE;2 BD DE VERDUN;01300;BELLEY;FRANCE;04 79 81 27 70;Pharmacie d'Officine
PHARMACIE AFRESNE - GENTHIAL;5 PL DE LA DOMBE;01700;BEYNOST;FRANCE;04 78 55 27 60;Pharmacie d'Officine
PHARMACIE BLANC - JODART;55 R DE LA MEULE;01120;LA BOISSE;FRANCE;;Pharmacie d'Officine
PHARMACIE DE LA PREFECTURE;21 AV ALSACE LORRAINE;01000;BOURG EN BRESSE;FRANCE;04 74 23 46 60;Pharmacie d'Officine
PHARMACIE DE LA CROIX BLANCHE;41 AV AMEDEE MERCIER;01000;BOURG EN BRESSE;FRANCE;;Pharmacie d'Officine
PHARMACIE SIMONIN;68 AV DE PARME;01000;BOURG EN BRESSE;FRANCE;;Pharmacie d'Officine
PHARMACIE CALMELS;146 BD DE BROU;01000;BOURG EN BRESSE;FRANCE;04 74 22 20 52;Pharmacie d'Officine
PHARMACIE DES ARCADES;18 R GAMBETTA;01000;BOURG EN BRESSE;FRANCE;04 74 23 54 73;Pharmacie d'Officine
PHARMACIE LA REYSSOUZE;17 BD IRENE JOLIOT CURIE;01000;BOURG EN BRESSE;FRANCE;04 74 45 26 81;Pharmacie d'Officine
PHARMACIE DU PLATEAU;3 AV JEAN JAURES;01000;BOURG EN BRESSE;FRANCE;04 74 21 35 93;Pharmacie d'Officine
PHARMACIE DU FAUBOURG;12 AV DE MACON;01000;BOURG EN BRESSE;FRANCE;04 74 22 31 06;Pharmacie d'Officine
PHARMACIE LAINE;35 AV MAGINOT;01000;BOURG EN BRESSE;FRANCE;04 74 23 23 31;Pharmacie d'Officine
SELARL SELIGNAT;45 R MARECHAL FOCH;01000;BOURG EN BRESSE;FRANCE;04 74 22 17 29;Pharmacie d'Officine
PHARMACIE DES VENNES;14 R MOLIERE;01000;BOURG EN BRESSE;FRANCE;04 74 21 20 19;Pharmacie d'Officine
PHARMACIE DU CARREFOUR;BD CHARLES DE GAULLE;01000;BOURG EN BRESSE;FRANCE;04 74 45 22 82;Pharmacie d'Officine
PHARMACIE BRESSANE;R DU STAND;01000;BOURG EN BRESSE;FRANCE;04 74 21 15 12;Pharmacie d'Officine
PHARMACIE PASTEUR;19 R NOTRE DAME;01000;BOURG EN BRESSE;FRANCE;04 74 22 67 50;Pharmacie d'Officine
PHARMACIE DU NORD;16 AV DE MARBOZ;01000;BOURG EN BRESSE;FRANCE;04 74 24 71 86;Pharmacie d'Officine
PHARMACIE BOUVIER;RES DE CESSY;01170;CESSY;FRANCE;04 50 41 40 60;Pharmacie d'Officine
PHARMACIE DE CEYZERIAT;2 AV DU REVERMONT;01250;CEYZERIAT;FRANCE;04 74 30 00 61;Pharmacie d'Officine
PHARMACIE OLIVA-SEVAIN;PL DU MARCHE;01320;CHALAMONT;FRANCE;04 74 61 70 21;Pharmacie d'Officine
PHARMACIE DECLERCQ;214 GR ;01260;CHAMPAGNE EN VALROMEY;FRANCE;04 79 87 61 44;Pharmacie d'Officine
PHARMACIE DE LA MICHAILLE;7 R DE LA POSTE;01200;VALSERHONE;FRANCE;04 50 59 76 05;Pharmacie d'Officine
PHARMACIE CHANEL;145 AV MARECHAL FOCH;01400;CHATILLON SUR CHALARONNE;FRANCE;04 74 55 00 81;Pharmacie d'Officine
PHIE LUGINBUHL-BERNADAC & ASSOCIES;GRANDE RUE;01270;COLIGNY;FRANCE;04 74 30 11 54;Pharmacie d'Officine
PHARMACIE DU FORT;100 GR ;01550;COLLONGES;FRANCE;;Pharmacie d'Officine
PHARMACIE DU COLOMBIER;1 AV JEAN FALCONNIER;01350;CULOZ;FRANCE;04 79 87 00 17;Pharmacie d'Officine
EURL PHARMACIE XAVIER GUYOT;1147 R DE GENEVE;01120;DAGNEUX;FRANCE;;Pharmacie d'Officine
PHARMACIE DES BAINS;31 R DES BAINS;01220;DIVONNE LES BAINS;FRANCE;04 50 20 00 57;Pharmacie d'Officine
PHARMACIE CENTRALE;132 GRANDE RUE;01220;DIVONNE LES BAINS;FRANCE;04 50 20 00 93;Pharmacie d'Officine
PHARMACIE DE DORTAN;R COLONEL ROMANS PETIT;01590;DORTAN;FRANCE;04 74 77 71 61;Pharmacie d'Officine
PHARMACIE DE FAREINS;279 RTE de Flechères;01480;FAREINS;FRANCE;04 74 67 87 15;Pharmacie d'Officine
PHARMACIE DE FEILLENS;210 GRANDE RUE;01570;FEILLENS;FRANCE;03 85 30 03 47;Pharmacie d'Officine
PHARMACIE REVOL;5 AV VOLTAIRE;01210;FERNEY VOLTAIRE;FRANCE;04 50 40 72 10;Pharmacie d'Officine
PHARMACIE DU LEVANT;6 CHE DU LEVANT;01210;FERNEY VOLTAIRE;FRANCE;04 50 40 68 97;Pharmacie d'Officine
PHARMACIE DE LA POTERIE;ZONE ARTISANALE DE LA POTERIE;01210;FERNEY VOLTAIRE;FRANCE;04 50 40 97 44;Pharmacie d'Officine
PHARMACIE DE GEX;;01170;GEX;FRANCE;04 50 41 52 75;Pharmacie d'Officine
PHARMACIE ROMAND;AV DE LA GARE;01170;GEX;FRANCE;04 50 41 54 04;Pharmacie d'Officine
PHARPAMA;539 R DES ENTREPRENEURS;01170;GEX;FRANCE;04 50 41 47 95;Pharmacie d'Officine
PHARMACIE JEAN-MICHEL GRIZARD;1 R GUSTAVE LAMBERT;01290;GRIEGES;FRANCE;03 85 31 63 90;Pharmacie d'Officine
PHARMACIE FREDERIC VALLEE;2 R JOSEPH VIALLAZ;01110;HAUTEVILLE LOMPNES;FRANCE;;Pharmacie d'Officine
