name;address;country;cp;ville;phone;description
PHARMACIE IKERIOKE-POIRIER;54 BD AYRAULT;FRANCE;49100;ANGERS;02 41 87 76 47;Pharmacie d'Officine
PHARMACIE GARE ANGERS;5 ESP DE LA GARE;FRANCE;49100;ANGERS;02 41 87 66 62;Pharmacie d'Officine
PHARMACIE ALBIOL;15 R BRESSIGNY;FRANCE;49100;ANGERS;02 41 88 40 97;Pharmacie d'Officine
SELARL NELLY LE GALLOUDEC;1 PL CAMILLE CLAUDEL;FRANCE;49100;ANGERS;02 41 43 77 42;Pharmacie d'Officine
PHARMACIE DE LA ROE;33 R DE LA ROE;FRANCE;49100;ANGERS;02 41 87 47 28;Pharmacie d'Officine
PHARMACIE TROUSSELLE - FERNANDEZ;94 AV DU GENERAL PATTON;FRANCE;49000;ANGERS;02 41 48 29 16;Pharmacie d'Officine
PHARMACIE MONTESQUIEU;7 R MONTESQUIEU;FRANCE;49000;ANGERS;02 41 48 23 19;Pharmacie d'Officine
PHARMACIE TISNE - PIEDNOIR;BD JOSEPH BEDIER;FRANCE;49000;ANGERS;02 41 66 62 36;Pharmacie d'Officine
PHARMACIE D'EUROPE;PL DE L EUROPE;FRANCE;49100;ANGERS;02 41 43 66 40;Pharmacie d'Officine
PHARMACIE DE LA ROSERAIE;AV JEAN XXIII;FRANCE;49000;ANGERS;02 41 66 57 86;Pharmacie d'Officine
PHARMACIE SCHWOOB;114 BD DE STRASBOURG;FRANCE;49000;ANGERS;02 41 88 75 51;Pharmacie d'Officine
PHARMACIE ALLONNEAU;25 BD ALLONNEAU;FRANCE;49100;ANGERS;02 41 43 96 22;Pharmacie d'Officine
PHARMACIE GIFFARD;57 R DE FREMUR;FRANCE;49000;ANGERS;02 41 88 22 18;Pharmacie d'Officine
PHARMACIE MOUSNIER;41 R DE LA LANDE;FRANCE;49000;ANGERS;02 41 48 22 83;Pharmacie d'Officine
NOUVELLE PHARMACIE PIERRE LISE;3 AV PASTEUR;FRANCE;49100;ANGERS;02 41 87 52 15;Pharmacie d'Officine
PHARMACIE DE LA PLACE LA FAYETTE;PL LAFAYETTE;FRANCE;49000;ANGERS;02 41 87 67 16;Pharmacie d'Officine
PHARMACIE DU CHAPEAU DE GENDARME;PL DU CHAPEAU DE GENDARME;FRANCE;49000;ANGERS;02 41 66 72 37;Pharmacie d'Officine
PHARMACIE DES PLANTES;28 BD SAINT MICHEL;FRANCE;49100;ANGERS;02 41 33 66 78;Pharmacie d'Officine
PHARMACIE MAECHLER-BRIDGE;4 PL MENDES FRANCE;FRANCE;49100;ANGERS;02 41 87 72 06;Pharmacie d'Officine
PHARMACIE D'ALLONNES;214 R ALBERT POTTIER;FRANCE;49650;ALLONNES;02 41 52 00 07;Pharmacie d'Officine
PHARMACIE GRENON-HUBERDEAU;11 R DE LA POSTE;FRANCE;49600;BEAUPREAU EN MAUGES;02 41 56 53 28;Pharmacie d'Officine
PHARMACIE DU BOIS DU ROY;20 PL DU BOIS DU ROY;FRANCE;49240;AVRILLE;;Pharmacie d'Officine
PHARMACIE DU VAL D'OR;11 PL DU MARECHAL JUIN;FRANCE;49240;AVRILLE;02 41 69 36 75;Pharmacie d'Officine
